"Referência principal";Referência;"Código de barras";Peso;"Preço principal";"Preço promocional";"Começa em";"Termina em";Stock;Variação{{>}}opção;Imagem;Imagem
WON0587;;;0.000;13.57;0;0000-00-00;0000-00-00;0.000;Referência{{>}}WON0588;;
WON0587;;;0.000;13.3;0;0000-00-00;0000-00-00;0.000;Referência{{>}}WON0587;;
3;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Tamanho{{>}}03XL - 19"" a 21""";;
3;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Tamanho{{>}}03L - 14"" a 18""";;
3;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Tamanho{{>}}03M - 10"" a 14""";;
3;;;0.000;0;0;0000-00-00;0000-00-00;0.000;"Tamanho{{>}}03XXL - 22,5"" a 24""";;
PSO15011/ST;PSO15023;;0.000;22;0;0000-00-00;0000-00-00;0.000;"Artigo{{>}}Botão de Regulação PS Standard";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/img_20200807_151312.png;
PSO15011/ST;PSO15010/OTR;;0.000;200;0;0000-00-00;0000-00-00;0.000;"Artigo{{>}}Punho c/ cabo PS15 OTR";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/img_20200807_151910.png;
PSO15011/ST;"PSO15012/S     ";;0.000;235;0;0000-00-00;0000-00-00;0.000;"Artigo{{>}}Punho c/ cabo PS15 Standard/Truckstar";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/img_20200807_151532.png;
PSO15011/ST;;;0.000;89;0;0000-00-00;0000-00-00;0.000;"Artigo{{>}}Cabo de Substituição PS15 Standard/Truckstar";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/img_20200807_151359.png;
PSO15011/ST;"PSO15011/OTR ";;0.000;82.5;0;0000-00-00;0000-00-00;0.000;"Artigo{{>}}Cabeça de Substituição PS15 OTR";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/img_20200807_150231.png;
PSO15011/ST;PSO15011/ST;;0.000;110;0;0000-00-00;0000-00-00;0.000;"Artigo{{>}}Cabeça de Substituição PS15 Standard/Truckstar";https://cdnw1.omeuwebsite.com/users/novo-alta/catalog/img_20200807_150053.png;
MF0-11301132/00_16;;;0.000;5690;0;0000-00-00;0000-00-00;0.000;"Extras{{>}}Com Braço Super RM Mini";;
MF0-11301132/00_16;;;0.000;5290;0;0000-00-00;0000-00-00;0.000;"Extras{{>}}Com Braço Super RM 300";;
MF0-11301132/00_16;;;0.000;4490;0;0000-00-00;0000-00-00;0.000;"Extras{{>}}Sem Braço";;
TECHQUBEX;;;0.000;399;0;0000-00-00;0000-00-00;0.000;"Modelo{{>}}TECHQUBE9 - PCL QUBE 9 - 230V";;
